title,vendor,product_type,price_min,price_max,variant_count,sizes_all,sizes_in_stock,in_stock_count,images_count,image,url,tags
3D Belt Company Bi-Fold Wallet (D250013708),3D Belt Company,Wallets & Money Clips,53.00,53.00,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/3D_Mens_Bifold_Style_Wallet_Roughout_Overlay_Tan_prd_86808_s_d250013708.jpg?v=1785192633,https://elherraderoww.com/products/3d-belt-company-bi-fold-wallet-d250013708,Accessories / Accessory / Accesorio | Men / Man / Hombre / Caballero
3D Belt Company Knife Sheath (D8403802),3D Belt Company,,25.00,25.00,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/3D_Knife_Sheath_Large_Pancake_Style_Basket_Weave_Brown_prd_89793_l_d84038021.jpg?v=1785185505,https://elherraderoww.com/products/3d-belt-company-knife-sheath-d8403802,Accessories / Accessory / Accesorio | Misc
3D Belt Company Knife Sheath (D8403908),3D Belt Company,,29.00,29.00,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/3D_Knife_Sheath_Large_Pancake_Style_Calf_Hair_Underlay_Tan_prd_89794_s_d8403908.jpg?v=1785185393,https://elherraderoww.com/products/3d-belt-company-knife-sheath-d8403908,Accessories / Accessory / Accesorio | Misc
3D Belt Company Knife Sheath (D8402702),3D Belt Company,,21.00,21.00,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/3D_Knife_Sheath_Hand_Tooled_Floral_Design_Brown_prd_87789_s_d84027021.jpg?v=1785185037,https://elherraderoww.com/products/3d-belt-company-knife-sheath-d8402702,Accessories / Accessory / Accesorio | Misc
3D Belt Company Knife Sheath (D8403302),3D Belt Company,,27.00,27.00,1,,,1,1,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/3D_Knife_Sheath_Closed_Diamond_Floral_Brown_prd_88617_s_d8403302.jpg?v=1785184876,https://elherraderoww.com/products/3d-belt-company-knife-sheath-d8403302,Accessories / Accessory / Accesorio | Misc
Levi’s Men's 501 Original Jeans (00501-3913),Levi Strauss & Co.,Pants,69.99,69.99,52,28 x 30 | 28 x 32 | 28 x 34 | 28 x 36 | 29 x 30 | 29 x 32 | 29 x 34 | 29 x 36 | 30 x 30 | 30 x 32 | 30 x 34 | 30 x 36 | 31 x 30 | 31 x 32 | 31 x 34 | 31 x 36 | 32 x 30 | 32 x 32 | 32 x 34 | 32 x 36 | 33 x 30 | 33 x 32 | 33 x 34 | 33 x 36 | 34 x 30 | 34 x 32 | 34 x 34 | 34 x 36 | 35 x 30 | 35 x 32 | 35 x 34 | 35 x 36 | 36 x 30 | 36 x 32 | 36 x 34 | 36 x 36 | 38 x 30 | 38 x 32 | 38 x 34 | 38 x 36 | 40 x 30 | 40 x 32 | 40 x 34 | 40 x 36 | 42 x 30 | 42 x 32 | 42 x 34 | 42 x 36 | 44 x 30 | 44 x 32 | 44 x 34 | 44 x 36,30 x 30 | 31 x 30 | 31 x 34 | 32 x 30 | 32 x 32 | 33 x 30 | 33 x 32 | 34 x 30 | 34 x 32 | 34 x 34 | 35 x 30 | 35 x 32 | 35 x 34 | 36 x 32 | 40 x 30 | 42 x 30,16,5,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/38321050_fpx.webp?v=1784943393,https://elherraderoww.com/products/levi-s-501-original-jeans-brown-times-gd-00501-3913,Men / Man / Hombre / Caballero
Kimes Ranch Men’s Talbott L/S Shirt (Black),Kimes Ranch,Shirts & Tops,82.00,82.00,6,S | M | L | XL | 2XL | 3XL,S | 2XL,2,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Talbott-Black-Button-Down-1.webp?v=1784837518,https://elherraderoww.com/products/kimes-ranch-men-s-talbott-l-s-shirt-black,Men / Man / Hombre / Caballero
Kimes Ranch Men’s Honor Shirt (Black),Kimes Ranch,Shirts & Tops,32.00,32.00,6,S | M | L | XL | 2XL | 3XL,XL,1,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Honor-Black-Logo-Shirt-4.webp?v=1784837418,https://elherraderoww.com/products/kimes-ranch-men-s-honor-shirt-msh0000205-black,Men / Man / Hombre / Caballero
Kimes Ranch Men’s Heavy Text Shirt (Heather Forest Green),Kimes Ranch,Shirts & Tops,32.00,32.00,6,S | M | L | XL | 2XL | 3XL,M | XL,2,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Heavy-Text-Heather-Forest-Green-Basic-T-Shirt-3.webp?v=1784837329,https://elherraderoww.com/products/kimes-ranch-men-s-heavy-text-shirt-msh0000157-heather-forest-green,Men / Man / Hombre / Caballero
Kimes Ranch Men’s Night Fall Shirt (Clay),Kimes Ranch,Shirts & Tops,32.00,32.00,6,S | M | L | XL | 2XL | 3XL,S | L | XL,3,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Night-Fall-Clay-Crewneck-T-Shirt-1.webp?v=1784837189,https://elherraderoww.com/products/kimes-ranch-night-fall-men-s-shirt-msh0000218-clay,Men / Man / Hombre / Caballero
Kimes Ranch Men’s Lucky B Bucking Shirt (Mid Blue),Kimes Ranch,Shirts & Tops,36.00,36.00,6,S | M | L | XL | 2XL | 3XL,S | M | L | XL,4,3,https://cdn.shopify.com/s/files/1/0466/0428/8151/files/Lucky-B-Bucking-Mid-Blue-Printed-Shirt-3.webp?v=1784837076,https://elherraderoww.com/products/kimes-ranch-men-s-lucky-b-bucking-shirt-msh0000222-mid-blue,Men / Man / Hombre / Caballero
